"Data","geres","total_cases","media_movel"
2020-03-12,"I",2,2
2020-03-13,"I",0,1
2020-03-14,"I",4,2
2020-03-15,"I",1,1.75
2020-03-16,"I",0,1.4
2020-03-17,"I",8,2.5
2020-03-18,"I",1,2.28571428571429
2020-03-19,"I",0,2
2020-03-20,"I",0,2
2020-03-21,"I",13,3.28571428571429
2020-03-22,"I",4,3.71428571428571
2020-03-23,"I",3,4.14285714285714
2020-03-24,"I",0,3
2020-03-25,"I",2,3.14285714285714
2020-03-26,"I",2,3.42857142857143
2020-03-27,"I",8,4.57142857142857
2020-03-28,"I",11,4.28571428571429
2020-03-29,"I",5,4.42857142857143
2020-03-30,"I",3,4.42857142857143
2020-03-31,"I",9,5.71428571428571
2020-04-01,"I",7,6.42857142857143
2020-04-02,"I",11,7.71428571428571
2020-04-03,"I",30,10.8571428571429
2020-04-04,"I",38,14.7142857142857
2020-04-05,"I",25,17.5714285714286
2020-04-06,"I",17,19.5714285714286
2020-04-07,"I",118,35.1428571428571
2020-04-08,"I",45,40.5714285714286
2020-04-09,"I",138,58.7142857142857
2020-04-10,"I",120,71.5714285714286
2020-04-11,"I",118,83
2020-04-12,"I",133,98.4285714285714
2020-04-13,"I",182,122
2020-04-14,"I",126,123.142857142857
2020-04-15,"I",186,143.285714285714
2020-04-16,"I",184,149.857142857143
2020-04-17,"I",296,175
2020-04-18,"I",183,184.285714285714
2020-04-19,"I",236,199
2020-04-20,"I",224,205
2020-04-21,"I",200,215.571428571429
2020-04-22,"I",360,240.428571428571
2020-04-23,"I",290,255.571428571429
2020-04-24,"I",0,213.285714285714
2020-04-25,"I",250,222.857142857143
2020-04-26,"I",1462,398
2020-04-27,"I",421,426.142857142857
2020-04-28,"I",338,445.857142857143
2020-04-29,"I",427,455.428571428571
2020-04-30,"I",620,502.571428571429
2020-05-01,"I",425,563.285714285714
2020-05-02,"I",712,629.285714285714
2020-05-03,"I",455,485.428571428571
2020-05-04,"I",192,452.714285714286
2020-05-05,"I",0,404.428571428571
2020-05-06,"I",0,343.428571428571
2020-05-07,"I",1732,502.285714285714
2020-05-08,"I",0,441.571428571429
2020-05-09,"I",1443,546
2020-05-10,"I",685,578.857142857143
2020-05-11,"I",401,608.714285714286
2020-05-12,"I",460,674.428571428571
2020-05-13,"I",496,745.285714285714
2020-05-14,"I",622,586.714285714286
2020-05-15,"I",524,661.571428571429
2020-05-16,"I",1789,711
2020-05-17,"I",771,723.285714285714
2020-05-18,"I",552,744.857142857143
2020-05-19,"I",895,807
2020-05-20,"I",947,871.428571428571
2020-05-21,"I",954,918.857142857143
2020-05-22,"I",1497,1057.85714285714
2020-05-23,"I",673,898.428571428571
2020-05-24,"I",670,884
2020-05-25,"I",449,869.285714285714
2020-05-26,"I",345,790.714285714286
2020-05-27,"I",648,748
2020-05-28,"I",548,690
2020-05-29,"I",968,614.428571428571
2020-05-30,"I",689,616.714285714286
2020-05-31,"I",647,613.428571428571
2020-06-01,"I",251,585.142857142857
2020-06-02,"I",377,589.714285714286
2020-06-03,"I",511,570.142857142857
2020-06-04,"I",542,569.285714285714
2020-06-05,"I",538,507.857142857143
2020-06-06,"I",373,462.714285714286
2020-06-07,"I",489,440.142857142857
2020-06-08,"I",271,443
2020-06-09,"I",158,411.714285714286
2020-06-10,"I",468,405.571428571429
2020-06-11,"I",573,410
2020-06-12,"I",371,386.142857142857
2020-06-13,"I",475,400.714285714286
2020-06-14,"I",266,368.857142857143
2020-06-15,"I",146,351
2020-06-16,"I",431,390
2020-06-17,"I",469,390.142857142857
2020-06-18,"I",565,389
2020-06-19,"I",427,397
